scan_center,rounded_datetime,cellindex,x,y,Area,Temp,Mask,Power,DQF,sinu_x,sinu_y
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,3038934,-2441894.8403015314,4311642.995651407,NA,NA,33,82.218780517578125,0,-8482342.33451066,5308070.453975252
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,3076786,-2674360.848898086,4297614.874442995,NA,NA,30,139.6073455810547,0,-8824537.585993761,5332236.196241652
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5295535,-2007023.082840735,3477971.79240859,NA,NA,35,NA,0,-8990976.560003512,3900126.2508483185
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5300956,-2013035.1347871977,3475967.775093103,NA,NA,35,NA,0,-8999745.182531158,3897693.4809936183
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5300957,-2011031.1174717098,3475967.775093103,NA,NA,35,NA,0,-8997470.452433346,3897569.827641104
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5300958,-2009027.1001562225,3475967.775093103,NA,NA,35,NA,0,-8995196.309997287,3897446.3439333434
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5300959,-2007023.082840735,3475967.775093103,NA,NA,15,NA,0,-8992922.754014531,3897323.0296885753
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5306379,-2015039.152102685,3473963.757777615,NA,NA,35,NA,0,-9003964.03390378,3895014.7270410936
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5306380,-2013035.1347871977,3473963.757777615,NA,NA,35,NA,0,-9001688.85024582,3894891.091166611
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5306381,-2011031.1174717098,3473963.757777615,NA,NA,35,NA,0,-8999414.25506563,3894767.624815122
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5306382,-2009027.1001562225,3473963.757777615,NA,NA,35,NA,0,-8997140.247153744,3894644.327804973
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5306383,-2007023.082840735,3473963.757777615,NA,NA,35,NA,0,-8994866.825303217,3894521.1999549037
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5311801,-2019047.1867336603,3471959.740462127,NA,NA,35,NA,0,-9010457.31336944,3892460.9466159265
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5311802,-2017043.1694181724,3471959.740462127,NA,NA,35,NA,0,-9008181.085059846,3892337.158644775
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5311803,-2015039.152102685,3471959.740462127,NA,NA,35,NA,0,-9005905.44725747,3892213.540257319
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5311804,-2013035.1347871977,3471959.740462127,NA,NA,35,NA,0,-9003630.398749342,3892090.0912714116
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5311805,-2011031.1174717098,3471959.740462127,NA,NA,35,NA,0,-9001355.93832499,3891966.8115054513
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5311806,-2009027.1001562225,3471959.740462127,NA,NA,35,NA,0,-8999082.06477646,3891843.700778243
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5317225,-2019047.1867336603,3469955.7231466398,NA,NA,35,NA,0,-9012396.33953419,3889660.7735878928
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5317226,-2017043.1694181724,3469955.7231466398,NA,NA,35,NA,0,-9010120.247002525,3889537.1726964787
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5317227,-2015039.152102685,3469955.7231466398,NA,NA,35,NA,0,-9007844.744582053,3889413.7410854837
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5317228,-2013035.1347871977,3469955.7231466398,NA,NA,35,NA,0,-9005569.831061294,3889290.4785733153
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5317229,-2011031.1174717098,3469955.7231466398,NA,NA,35,NA,0,-9003295.505231284,3889167.384978854
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5317230,-2009027.1001562225,3469955.7231466398,NA,NA,35,NA,0,-9001021.76588556,3889044.4601214267
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5317252,-1964938.7192154964,3469955.7231466398,NA,NA,15,NA,0,-8951145.470006546,3886382.4437219766
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322647,-2023055.221364635,3467951.7058311524,NA,NA,35,NA,0,-9018886.94084452,3887109.3223871235
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322648,-2021051.2040491477,3467951.7058311524,NA,NA,35,NA,0,-9016609.800854485,3886985.5696592187
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322649,-2019047.1867336603,3467951.7058311524,NA,NA,35,NA,0,-9014333.25300806,3886861.9862729027
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322650,-2017043.1694181724,3467951.7058311524,NA,NA,35,NA,0,-9012057.296090238,3886738.5720461397
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322651,-2015039.152102685,3467951.7058311524,NA,NA,35,NA,0,-9009781.92888853,3886615.3267974225
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322652,-2013035.1347871977,3467951.7058311524,NA,NA,35,NA,0,-9007507.150192974,3886492.250345619
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322653,-2011031.1174717098,3467951.7058311524,NA,NA,35,NA,0,-9005232.958796097,3886369.3425101093
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322654,-2009027.1001562225,3467951.7058311524,NA,NA,35,NA,0,-9002959.35349293,3886246.603110713
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322655,-2007023.082840735,3467951.7058311524,NA,NA,35,NA,0,-9000686.33308099,3886124.0319676963
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322656,-2005019.0655252472,3467951.7058311524,NA,NA,35,NA,0,-8998413.896360267,3886001.6289018015
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322657,-2003015.0482097599,3467951.7058311524,NA,NA,15,NA,0,-8996142.042133223,3885879.3937342158
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322658,-2001011.0308942725,3467951.7058311524,NA,NA,15,NA,0,-8993870.769204786,3885757.326286553
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322659,-1999007.0135787847,3467951.7058311524,NA,NA,35,NA,0,-8991600.076382335,3885635.42638088
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322660,-1997002.9962632973,3467951.7058311524,NA,NA,35,NA,0,-8989329.9624757,3885513.6938397232
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322661,-1994998.97894781,3467951.7058311524,NA,NA,35,NA,0,-8987060.426297136,3885392.128486055
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322662,-1992994.961632322,3467951.7058311524,NA,NA,35,NA,0,-8984791.466661327,3885270.730143317
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322663,-1990990.9443168347,3467951.7058311524,NA,NA,35,NA,0,-8982523.082385398,3885149.4986353028
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322665,-1986982.9096858595,3467951.7058311524,NA,NA,35,NA,0,-8977988.03519364,3884907.53542125
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322666,-1984978.892370372,3467951.7058311524,NA,NA,15,NA,0,-8975721.369924067,3884786.8033650983
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322667,-1982974.8750548842,3467951.7058311524,NA,NA,15,NA,0,-8973455.275306849,3884666.237443522
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322673,-1970950.771161959,3467951.7058311524,NA,NA,15,NA,0,-8959870.625897653,3883946.321029809
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5322674,-1968946.7538464717,3467951.7058311524,NA,NA,15,NA,0,-8957608.493193736,3883826.91320408
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328073,-2019047.1867336603,3465947.688515665,NA,NA,35,NA,0,-9016268.056793254,3884064.581947688
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328074,-2017043.1694181724,3465947.688515665,NA,NA,35,NA,0,-9013992.23532547,3883941.3539720075
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328075,-2015039.152102685,3465947.688515665,NA,NA,15,NA,0,-9011717.003179701,3883818.2946727895
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328076,-2013035.1347871977,3465947.688515665,NA,NA,35,NA,0,-9009442.359147472,3883695.4038694133
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328077,-2011031.1174717098,3465947.688515665,NA,NA,35,NA,0,-9007168.302022811,3883572.6813817443
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328078,-2009027.1001562225,3465947.688515665,NA,NA,35,NA,0,-9004894.830602225,3883450.127030128
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328079,-2007023.082840735,3465947.688515665,NA,NA,35,NA,0,-9002621.943684725,3883327.740635291
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328080,-2005019.0655252472,3465947.688515665,NA,NA,35,NA,0,-9000349.640071768,3883205.5220184717
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328081,-2003015.0482097599,3465947.688515665,NA,NA,35,NA,0,-8998077.918567287,3883083.471001373
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328082,-2001011.0308942725,3465947.688515665,NA,NA,15,NA,0,-8995806.77797769,3882961.587406044
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328083,-1999007.0135787847,3465947.688515665,NA,NA,15,NA,0,-8993536.217111798,3882839.871055121
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328084,-1997002.9962632973,3465947.688515665,NA,NA,35,NA,0,-8991266.234780908,3882718.321771564
2019-08-07T09:05:39Z,2019-08-07T09:00:00Z,5328085,-1994998.97894781,3465947.688515665,NA,NA,35,NA,0,-8988996.82979872,3882596.939378838
